,date,SABR,SAFRY,SAP,SBGI,SBIO,SBNY,SBPYX,SBUX,SCCO,SCHW,SCI,SDOG,SDY,SE,SEIC,SFTBY,SGAPY,SGY,SH,SHECY,SHLX,SHOO,SHOP,SHPG,SHW,SHY,SI,SIEGY,SIGI,SIL,SIVB,SJM,SJR,SLB,SLY,SMDV,SMECF,SMEZ,SMG,SMTC,SNA,SNAP,SNOW,SNPS,SNY,SO,SOJA,SOUHY,SPG,SPGI,SPGP,SPOT,SPSC,SPY_x,SQ,SQI,SQM,SRCL,SRE,SRVR,SSB,SSBK,SSDOY,SSYS,ST,STAG,STE,STI,STT,STX,STZ,SU,SUN,SWI,SWKS,SWN,SXT,SYF,SYK,SYMC,SYY,T,TACO,TAL,TAP,TBF,TBT,TCAP,TCBI,TCEHY,TCMD,TCP,TCS,TD,TDG,TDY,TECH,TEL,TER,TEVA,TEX,TFC,TFX,TGBAX,TGT,THRM,THS,TJX,TLLP,TM,TMO,TMUS,TNGO,TNTOF,TOLLX,TREX,TRGP,TRIP,TROW,TRP,TRV,TSCIX,TSCO,TSLA,TSM,TSN,TT,TTC,TTD,TTE,TU,TUMI,TUP,TWO,TWTR,TWX,TXN,TXRH,TYPE,UA,UA-C,UAA,UBER,UBSI,UHAL,UL,UMPQ,UN,UNFI,UNH,UNP,UPS,URBN,URI,USB,USG,UTX,V,VAC,VADDX,VCTR,VDC,VEA,VEEV,VEVIX,VFC,VFH,VFIJX,VGK,VGR,VIAB,VIAC,VIAV,VIXY,VLO,VLP,VMC,VMIIX,VMW,VOD,VOO,VPMAX,VPU,VR,VRM,VRTX,VSAT,VSI,VSM,VSMIX,VTIP,VTKLY,VTR,VTRS,VVC,VWO,VZ,W,WAB,WAGE,WAL,WASCX,WASH,WAT,WBA,WCMIX,WCN,WDAY,WDC,WEC,WES,WETF,WEX,WF,WFC,WFM,WGP,WIT,WIW,WLK,WM,WMB,WMT,WOOF,WPC,WPX,WPZ,WRK,WST,WSTMX,WTR,WTW,WW,WY,X,XAR,XBI,XCAPX,XEL,XLC,XLI,XLNX,XLU,XLV,XLY,XOM,XON,XPO,XRAY,XRT,XSD,XSLV,YACKX,YHOO,YUM,YUMC,ZAYO,ZBH,ZM,ZMH,ZNGA,ZTS,NDAQ,SPY_y
0,2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022-11-11,5.48,28.8,110.17,19.33,31.51,143.98,38.54,97.38,60.39,78.36,69.57,52.18,128.32,49.43,61.57,24.03,19.6,,15.42,30.65,,33.0,39.44,,237.24,81.24,34.42,63.84,91.33,28.23,235.62,142.61,27.12,54.82,87.64,63.9,477.0,,63.91,30.78,234.31,11.58,159.41,331.4,42.8,65.09,,13.69,120.2,356.2,87.0,83.71,133.13,398.51,71.66,,111.03,51.8,154.65,30.74,86.35,29.61,40.28,13.94,45.33,32.94,172.54,,80.99,57.15,247.0,36.77,42.46,9.55,96.35,6.99,72.43,40.23,224.29,22.94,84.47,19.05,,4.76,51.9,23.22,34.23,,61.15,33.4,8.8,,4.94,66.66,626.25,412.99,349.97,124.11,96.31,9.48,45.21,47.26,219.51,7.59,173.32,72.56,47.44,73.9,,143.26,538.68,146.19,,,16.24,49.26,72.64,22.17,133.34,48.25,181.73,11.78,209.05,195.97,73.83,67.41,176.08,111.33,48.77,58.87,21.89,,5.46,16.74,,,179.49,96.12,,8.14,,9.38,29.15,42.86,52.89,47.16,20.73,,45.48,522.08,217.5,178.19,25.35,349.31,44.92,,93.65,205.0,144.81,72.39,32.26,190.1,42.52,191.02,48.44,33.34,87.96,9.11,55.48,10.51,,,11.01,13.75,133.96,,178.96,11.43,115.97,12.47,366.16,148.21,148.73,19.16,1.11,303.26,34.05,,,21.12,47.83,5.865,45.31,11.44,,38.94,38.3,41.47,101.07,,76.64,19.02,47.98,331.85,41.26,20.23,136.25,156.95,39.75,93.15,28.38,,166.42,27.41,47.55,,28.38,5.05,9.42,113.37,158.16,34.08,142.58,11.58,78.41,,,37.66,250.93,9.4,46.57,233.89,4.39,33.09,23.87,110.7,84.76,14.29,67.49,50.02,99.53,,68.08,133.13,145.09,113.95,1.84,39.44,32.05,65.56,180.55,46.36,23.07,,123.33,54.08,,115.56,88.32,,,148.55,66.4,398.51
2,2022-11-04,4.61,28.24,96.02,16.71,29.5142,148.53,35.43,91.86,53.7,79.05,69.49,50.0082,122.09,44.01,54.52,22.55,17.93,,16.37,26.59,,30.06,32.15,,216.23,80.68,52.39,56.49,93.17,25.86,213.2,149.38,26.43,53.1,83.27,62.006,409.2501,,50.4,27.51,229.14,9.14,132.31,276.57,43.62,64.91,,12.74,115.57,316.4,80.99,71.05,119.12,376.35,60.11,,96.7,46.82,154.83,28.04,90.11,29.1,34.11,13.68,40.71,31.67,162.94,,75.45,51.12,244.83,36.14,42.96,8.61,87.93,6.81,68.36,35.02,210.98,22.16,82.25,18.32,,5.44,51.2,24.14,37.06,,58.56,30.89,6.9,,4.42,65.26,579.61,395.03,303.57,116.68,84.72,8.47,42.4,43.66,202.39,7.32,159.63,65.71,48.57,71.19,,137.35,495.55,148.83,,,15.51,42.3,70.37,23.72,102.83,44.56,183.06,11.04,206.56,207.47,62.48,67.3,166.74,104.79,46.25,57.44,21.3,,4.02,14.27,,,162.65,98.91,,7.25,,8.29,28.39,42.92,540.12,46.28,20.24,,42.88,538.17,196.7,165.69,23.12,323.87,42.83,,95.22,196.98,138.66,68.34,28.65,186.05,39.45,166.81,46.44,28.25,83.44,8.91,51.24,10.5,,,10.99,14.04,128.72,,170.15,11.21,110.73,12.08,345.82,140.27,146.23,17.61,0.88,308.82,38.15,,,20.38,47.55,5.695,39.49,9.7,,37.53,37.24,32.74,95.45,,66.39,18.24,47.78,305.07,37.07,18.31,136.45,132.63,35.44,91.39,27.3,5.26,155.38,24.87,46.74,,27.3,4.72,9.21,100.01,155.77,33.54,140.97,10.06,77.4,,,34.62,215.59,9.37,44.21,221.21,4.43,30.28,20.62,105.65,79.96,13.29,65.55,45.72,95.07,,67.09,130.81,137.5,112.31,1.62,33.62,27.15,60.82,160.39,45.27,22.18,,121.78,49.94,,104.85,77.46,,,133.67,61.9,376.35
3,2022-10-28,5.56,28.47,97.71,18.09,31.3105,158.7,37.5,87.1,47.11,80.19,61.24,50.48,123.45,49.54,53.72,20.77,17.43,,15.83,26.4,15.82,29.91,34.19,,226.23,81.12,58.84,56.02,97.06,25.14,234.15,150.73,24.95,50.45,85.02,62.34,395.2501,,48.0,27.94,219.55,10.08,159.69,295.84,43.05,66.34,,11.55,108.96,326.93,82.5,83.36,128.82,389.02,61.29,,95.16,44.17,152.39,28.41,89.96,29.45,35.3,14.32,40.31,31.67,172.88,,74.78,51.45,247.09,33.71,43.42,9.41,88.06,6.58,70.77,36.13,229.23,22.56,85.98,18.48,,4.37,51.1,23.54,35.36,,60.19,25.83,7.45,,5.6,64.45,581.55,395.14,295.5,122.65,83.35,8.91,38.37,45.05,214.13,7.24,167.52,57.23,50.58,72.5,,139.52,503.84,151.0,,,15.42,49.34,67.16,23.49,108.64,43.78,181.96,11.39,223.14,228.52,62.01,68.64,160.94,106.84,53.71,54.77,21.17,,7.42,3.58,53.7,,161.36,98.71,,6.48,,7.32,27.5,42.13,584.25,45.74,19.93,,42.55,551.24,198.65,167.17,24.68,309.59,42.86,,95.08,209.34,147.01,69.49,29.22,189.2,38.89,171.58,46.99,28.27,83.94,9.02,50.65,10.61,,,15.25,14.51,125.98,,165.69,11.15,113.15,11.77,357.38,142.31,147.02,18.0,1.04,313.89,40.98,,,20.01,47.77,5.66,39.69,10.07,,35.58,37.67,36.21,93.56,,67.1,18.27,48.47,302.68,36.58,18.58,132.83,157.65,35.5,91.6,28.41,5.4,162.81,25.26,46.35,,28.41,4.74,9.23,98.1,157.91,32.67,142.51,10.62,75.91,,,34.27,225.51,9.36,44.18,221.37,4.36,31.1,20.51,106.6,83.76,13.6,65.37,49.03,94.62,,67.41,132.86,144.96,110.7,1.61,50.67,30.86,63.17,160.07,45.78,22.37,,117.88,41.48,,113.47,84.21,,,153.28,62.28,389.02
4,2022-10-21,5.67,26.88,90.88,19.0,29.64,142.31,34.86,88.61,48.78,70.32,58.59,48.0081,116.69,46.18,48.0,19.58,16.89,,16.44,25.39,15.82,28.94,29.75,,207.82,80.94,53.96,53.28,92.0,24.9,230.03,142.81,24.86,50.41,80.12,58.95,392.0001,,44.54,26.68,207.75,7.76,177.1,296.5,40.44,64.5,,12.2,101.04,295.94,78.14,88.7,124.2,374.29,55.99,,94.08,41.22,142.28,26.87,85.28,26.6,34.81,13.76,41.69,28.36,167.22,,69.12,55.71,225.15,33.38,41.52,8.73,84.14,6.22,68.94,32.41,218.31,21.8,80.05,17.1,,3.94,49.16,24.5,38.26,,56.01,29.92,7.15,,5.18,63.2,537.88,350.48,283.29,114.89,77.27,8.44,34.32,41.51,197.67,7.24,159.19,55.85,47.87,67.61,,133.76,496.74,136.46,,,14.57,44.02,67.79,24.44,102.52,43.07,176.23,10.84,197.37,214.44,63.75,65.12,144.86,96.16,56.93,52.18,20.44,,7.14,3.23,49.89,,159.72,95.46,,6.09,,6.82,28.02,38.48,534.35,44.56,18.39,,39.57,533.73,190.53,165.55,23.24,284.68,40.51,,88.54,190.37,141.17,65.87,26.67,178.03,37.68,157.63,44.6,27.69,78.8,8.84,48.45,9.59,,,14.38,16.42,127.74,,155.43,11.24,109.64,11.31,343.9,136.92,138.09,18.01,1.02,300.0,38.08,,,18.98,47.69,5.51,37.13,9.38,,36.75,35.35,33.19,86.57,,62.0,17.86,47.82,282.12,34.3,17.84,130.64,149.48,34.86,86.65,28.11,,142.78,25.12,44.83,,28.11,4.65,9.02,94.05,159.83,31.52,136.8,9.36,70.85,,,32.86,232.88,9.37,40.89,210.72,4.09,29.96,21.65,101.17,78.84,13.91,60.9,50.15,88.69,,63.31,126.54,142.4,105.86,1.72,45.75,29.06,58.84,153.26,43.01,21.69,,111.03,45.14,,107.39,80.98,,,147.21,57.74,374.29
5,2022-10-14,5.41,24.7,84.61,18.55,29.5,145.0,33.55,86.37,47.03,68.98,60.46,46.37,113.47,51.07,47.71,18.48,17.34,,17.23,24.7,15.82,27.52,26.06,,201.7,80.84,67.17,50.25,89.46,23.5,317.77,141.03,24.34,42.16,77.54,57.44,389.68,,43.25,25.65,209.6,9.99,152.38,277.61,39.58,63.51,,11.79,95.86,286.62,75.79,81.79,120.13,357.63,51.51,,82.64,40.87,141.5,26.27,86.99,27.16,34.8,13.08,37.92,27.7,165.84,,61.11,51.61,221.99,30.98,39.63,7.99,80.64,6.51,69.02,31.42,209.13,20.78,73.74,14.99,,3.89,48.8,23.12,34.19,,62.23,31.01,6.71,,5.41,61.13,514.28,331.1,282.86,107.52,71.37,7.95,31.89,43.0,195.67,7.24,145.69,54.01,46.68,63.55,,134.11,503.05,131.52,,,14.21,45.22,64.96,22.21,98.31,40.46,163.3,10.46,198.68,204.99,63.92,64.84,142.0,93.44,50.6,51.0,19.49,,6.72,3.14,50.45,,148.34,92.67,,6.18,,6.97,24.71,37.97,521.34,43.25,17.52,,37.28,513.13,193.79,161.68,22.17,277.0,42.76,,82.59,182.62,133.4,63.46,26.22,174.21,36.31,151.1,43.0,28.95,76.39,8.92,46.39,9.3,,,13.37,17.34,114.12,,148.44,11.47,106.17,11.22,328.65,131.87,135.6,17.5,1.02,293.21,36.7,,,17.96,47.5,5.61,36.04,9.55,,35.66,36.38,28.35,84.09,,63.8,17.47,48.05,272.19,33.24,17.15,124.54,139.59,33.72,84.3,26.07,,136.52,24.29,43.17,,26.07,4.44,9.36,92.52,154.73,29.41,130.43,10.4,68.46,,,31.65,247.53,9.4,39.91,202.03,3.8,29.0,18.85,93.31,77.82,13.52,58.86,47.98,84.74,,62.15,123.9,135.27,99.19,1.72,46.82,28.48,57.33,143.14,42.1,20.75,,106.77,44.83,,106.91,72.29,,,145.4,54.75,357.63
6,2022-10-07,5.22,24.07,84.53,18.57,29.9425,152.99,35.01,87.03,47.91,74.31,60.0,45.93,113.04,60.05,48.81,18.34,17.75,,16.99,26.06,15.82,27.52,27.21,,205.6,81.03,70.21,49.83,84.3,24.97,341.47,137.59,24.69,42.59,77.68,56.21,428.55,,41.04,27.23,209.55,10.66,175.1,307.01,38.86,64.12,,12.1999,92.54,304.53,77.1,88.01,126.53,362.79,57.41,,90.05,42.43,147.03,27.45,82.39,28.0,35.49,13.89,39.39,27.37,170.19,,62.11,53.76,222.7,32.8,39.15,8.45,87.2,6.78,68.97,30.84,208.52,20.68,72.19,14.94,,5.0,47.02,22.56,32.6,,62.48,33.76,7.34,,5.35,59.82,533.48,340.13,296.0,114.16,77.33,8.46,31.63,43.53,194.22,7.36,152.34,54.75,45.69,64.59,,135.85,523.61,137.59,,,14.61,49.54,63.77,22.88,106.2,41.2,156.88,10.8,194.62,223.07,69.75,63.89,146.36,94.04,56.79,50.91,20.03,,6.48,3.19,49.18,,159.28,87.26,,6.27,,7.07,28.07,37.09,537.02,43.35,17.17,,35.39,504.85,195.62,159.14,21.78,284.52,40.2,,84.01,183.83,129.47,64.49,25.49,171.56,36.96,165.83,43.45,28.87,75.97,9.04,46.67,8.89,,,14.01,16.97,113.78,,157.49,11.55,109.81,11.3,333.33,133.54,138.6,18.47,1.13,295.23,38.3,,,18.3,47.58,5.64,37.72,8.74,,37.14,36.85,30.63,86.04,,65.32,17.8,46.95,276.5,30.52,17.77,129.97,152.88,35.74,85.48,25.89,,143.81,23.73,41.79,,25.89,4.73,9.3,88.85,155.24,29.79,128.56,10.81,71.32,,,31.35,249.82,9.4,40.54,204.93,3.63,28.66,18.81,96.05,79.1,14.54,59.86,48.73,85.16,,63.76,122.62,140.65,101.03,1.76,48.75,28.41,58.26,155.66,40.8,20.93,,108.93,48.75,,108.26,76.59,,,147.37,57.66,362.79
7,2022-09-30,5.15,22.68,81.25,18.09,30.1281,151.0,34.43,84.26,44.84,71.87,57.74,45.16,111.5,56.05,49.05,16.86,18.6,,17.28,24.725,15.81,26.67,26.94,,204.75,81.21,75.35,48.95,81.4,24.11,335.78,137.41,24.32,35.9,75.69,55.5,412.2,,42.75,29.41,201.35,9.82,169.96,305.51,38.02,68.0,,11.82,89.75,305.35,74.83,86.3,124.23,357.18,54.99,,90.75,42.11,149.94,28.63,79.12,27.25,35.11,14.41,37.28,28.43,166.28,,60.81,53.23,229.68,28.15,38.97,7.75,85.27,6.12,69.34,28.19,202.54,20.14,70.71,15.34,,4.94,47.99,22.3,31.81,,59.03,33.82,7.79,,4.9,61.33,524.82,337.47,284.0,110.36,75.15,8.07,29.74,43.54,201.46,7.31,148.39,49.73,42.42,62.12,,130.29,507.19,134.17,,,14.79,43.94,60.34,22.08,105.01,40.29,153.2,10.55,185.88,265.25,68.56,65.93,144.81,86.48,59.75,46.52,19.86,,6.55,3.32,43.84,,154.78,87.26,,5.96,,6.65,26.5,35.75,509.22,43.84,17.09,,34.37,505.04,194.82,161.54,19.65,270.12,40.32,,81.86,177.65,121.86,63.02,23.31,171.79,36.36,164.88,42.33,29.91,74.44,9.07,46.15,8.81,,,13.05,17.1,106.85,,157.71,11.41,106.46,11.33,328.3,130.87,142.26,18.18,1.16,289.54,30.23,,,17.27,48.11,5.65,40.17,8.52,,36.49,37.97,32.55,81.35,,65.74,17.49,46.48,269.53,31.4,17.36,135.13,152.22,32.55,89.43,25.16,,126.94,22.32,40.22,,25.16,4.71,9.07,86.88,160.21,28.63,129.7,11.16,69.8,,,30.89,246.08,9.39,41.38,200.94,3.93,28.56,18.12,91.68,79.32,14.22,64.0,47.89,82.84,,65.51,121.11,142.45,87.31,2.12,44.52,28.35,56.44,152.14,40.5701,20.21,,106.34,47.33,,104.55,73.59,,,148.29,56.68,357.18
8,2022-09-23,5.42,22.32,79.47,20.18,28.9593,156.14,34.38,84.17,43.45,70.89,57.95,46.8,115.5,53.81,51.52,17.95,18.54,,16.79,26.33,15.8,27.75,28.76,,211.22,81.22,73.98,47.86,80.97,22.22,340.83,140.65,24.67,35.0,76.72,57.44,426.0,,49.95,29.85,206.45,10.32,172.13,303.28,38.4,74.99,,12.33,90.18,317.86,76.37,89.34,117.45,367.95,56.27,,93.95,44.6,161.78,30.03,78.74,27.15,34.55,14.23,37.65,29.58,167.29,,63.63,57.78,231.26,27.2,38.82,7.68,94.34,6.28,71.0,29.27,206.93,20.67,74.92,16.01,,4.78,47.68,21.63,30.07,,60.74,34.87,7.53,,5.28,62.08,540.51,351.4,291.06,114.58,79.19,7.9,29.81,44.34,207.48,7.46,152.61,54.14,43.34,61.27,,137.28,520.79,132.33,,,15.59,45.42,59.75,22.06,107.33,43.6,155.48,10.46,185.59,275.33,73.87,69.94,147.58,86.01,57.7,44.94,20.89,,7.65,4.2,41.58,,161.29,84.38,,6.65,,7.6,27.82,36.56,500.66,43.85,17.56,,38.94,513.61,203.97,164.33,21.0,263.37,42.12,,82.03,183.96,122.46,64.66,24.57,179.41,37.0,162.57,43.16,35.78,76.77,9.13,46.51,8.89,,,13.24,16.15,100.57,,155.63,11.59,109.6,11.97,339.63,131.21,156.79,18.49,1.27,283.45,29.56,,,17.46,48.53,6.025,43.43,8.69,,37.52,39.52,37.76,82.73,,68.61,17.8,49.2,275.5,32.83,17.55,139.72,151.24,33.84,99.57,23.93,,131.49,24.54,40.41,,23.93,4.78,9.4,82.95,165.74,29.15,130.06,11.97,78.47,,,32.1,254.24,9.42,44.34,200.34,4.4,28.99,18.59,94.68,76.65,14.27,71.56,49.11,84.75,,71.76,122.73,146.42,85.75,2.18,42.95,29.98,58.38,155.77,42.28,20.52,,110.65,46.6,,106.21,74.45,,,150.05,56.93,367.95
9,2022-09-16,6.44,24.51,83.94,21.75,31.6022,171.91,36.73,91.31,46.68,71.87,60.6,49.5,120.19,59.01,53.63,18.77,19.3,,16.02,27.68,15.83,29.27,31.73,,221.56,81.67,80.26,50.28,81.39,24.06,362.42,138.88,25.42,38.37,81.5,59.77,447.2,,54.38,31.65,215.46,11.3,184.67,314.21,40.82,77.25,,13.225,99.7,346.07,80.66,100.34,123.08,385.56,64.89,,104.15,49.41,168.44,32.81,81.17,27.81,36.13,15.67,40.05,30.96,193.72,,70.1,62.71,239.9,30.74,39.97,8.39,99.88,7.21,74.3,32.51,221.25,21.26,78.19,16.74,,5.25,50.44,21.34,29.35,,62.36,37.01,8.21,,5.77,66.21,581.93,371.36,307.59,122.73,82.1,8.81,32.68,47.62,227.35,7.59,164.09,59.13,44.35,64.66,,140.74,541.28,139.95,,,16.64,46.98,68.74,24.39,110.13,46.99,162.33,11.21,190.02,303.35,77.89,72.01,155.69,88.85,61.89,50.16,21.69,,7.91,4.81,41.45,,165.26,90.5,,7.31,,8.35,31.93,36.81,515.24,45.17,17.7,,41.87,521.02,212.0,176.71,21.64,286.04,45.87,,85.2,193.3,141.53,68.46,27.16,183.7,39.56,175.03,45.72,39.8,81.39,9.35,50.59,9.35,,,13.93,14.82,104.46,,159.4,11.78,112.44,12.48,355.86,138.34,161.81,19.9,1.65,289.71,35.93,,,18.96,49.14,6.5637,48.0,9.3,,39.67,41.25,45.2,85.95,,71.7,18.58,50.02,283.93,34.27,18.79,144.81,152.29,37.22,101.29,27.2,,146.39,25.48,43.94,,27.2,4.96,10.01,90.85,169.34,31.69,133.19,14.41,84.6,,,34.15,268.06,9.48,45.57,206.0,5.21,30.73,20.14,100.29,83.27,15.01,73.9,52.14,89.21,,74.47,127.45,157.94,93.21,2.72,47.17,32.05,62.49,165.63,44.12,21.62,,115.72,49.78,,112.69,78.68,,,157.3,61.01,385.56
