row,senator,senatorId
1,Thomas H Tuberville,100
2,Thomas R Carper,101
3,Daniel S Sullivan,102
4,Rick Scott,103
5,John Boozman,104
6,"A. Mitchell Mcconnell, Jr.",105
7,Susan M Collins,106
8,"William F Hagerty, Iv",107
9,Gary C Peters,108
10,Mark R Warner,109
11,Shelley M Capito,110
12,Debra S Fischer,111
13,Lindsey Graham,112
14,John W Hickenlooper,113
15,Tina Smith,114
16,John R Thune,115
17,Christopher A Coons,116
18,Patrick J Toomey,118
19,"Jerry Moran,",119
20,Jacklyn S Rosen,120
21,Roy Blunt,121
22,Roy D Blunt,121
23,Cynthia M Lummis,122
24,Sheldon Whitehouse,123
25,Roger W Marshall,124
26,John Hoeven,125
27,Rand Paul,126
28,Michael F Bennet,128
29,Mike Rounds,129
30,Richard M Burr,130
31,James M Inhofe,132
32,Pat Roberts,133
33,William Cassidy,134
34,Richard Blumenthal,135
35,"David A Perdue , Jr",136
36,Kelly Loeffler,137
37,Timothy M Kaine,138
38,Jeanne Shaheen,139
39,Ron Johnson,140
40,Roger F Wicker,141
41,Dianne Feinstein,142
42,Lamar Alexander,143
43,John N Kennedy,144
44,Thomas Udall,146
45,Tom S Udall,146
46,John F Reed,147
47,Thomas R Tillis,148
48,John A Barrasso,149
49,"Robert P Casey, Jr.",150
50,Robert J Portman,151
51,Benjamin L Cardin,152
52,Ladda Tammy Duckworth,153
53,Tammy Duckworth,153
54,"Joseph Manchin, Iii",154
55,Michael D Crapo,155
56,Patty Murray,156
57,Steve Daines,157
58,Chris Van Hollen,158
59,John Cornyn,159
60,Maria Cantwell,160
61,Maria E Cantwell,160
62,Cory A Booker,162
63,Ron L Wyden,163
64,Ron Wyden,163
65,Ronald L Wyden,163
66,Jack Reed,164
67,Angus S King,165
68,"Angus S King, Jr.",165
69,Thad Cochran,166
70,Michael  B Enzi,170
71,Michael B Enzi,170
72,Rafael E Cruz,171
73,Rafael Edward (Ted) Cruz,171
74,Elizabeth Warren,172
75,Richard C Shelby,173
