,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,disclosure_date,id,senatorId,alpha
0,2022-10-28,Joint,MSFT,Microsoft Corporation - Common Stock Option Type: Short Sale Strike price: $245.00  Expires: 06/16/2023 ,Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,0,100,
2,2022-10-28,Joint,MSFT,Microsoft Corporation - Common Stock Option Type: Short Sale Strike price: $245.00  Expires: 06/16/2023 ,Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,2,100,
3,2022-10-28,Joint,MSFT,Microsoft Corporation - Common Stock Option Type: Short Sale Strike price: $245.00  Expires: 06/16/2023 ,Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,3,100,
8,2022-10-06,Joint,XOM,Exxon Mobil Corporation Common Stock Option Type: Short Sale Strike price: $100.00  Expires: 06/16/2023 ,Stock Option,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,8,100,
9,2022-10-06,Joint,CVX,Chevron Corporation Common Stock Option Type: Short Sale Strike price: $155.00  Expires: 06/16/2023 ,Stock Option,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,9,100,
10,2022-10-06,Joint,X,United States Steel Corporation Common Stock Option Type: Short Sale Strike price: $20.00  Expires: 06/16/2023 ,Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,10,100,
11,2022-10-06,Joint,X,United States Steel Corporation Common Stock Option Type: Short Sale Strike price: $20.00  Expires: 06/16/2023 ,Stock Option,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,11,100,
35,2022-10-05,Joint,ZTS,Zoetis Inc. Class A Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,35,100,
36,2022-10-05,Joint,WIT,Wipro Limited Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,36,100,
37,2022-10-05,Joint,SEIC,SEI Investments Company - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,37,100,
38,2022-10-05,Joint,RMD,ResMed Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,38,100,
39,2022-10-05,Joint,TROW,"T. Rowe Price Group, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,39,100,
40,2022-10-05,Joint,NOC,Northrop Grumman Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,40,100,
41,2022-10-05,Joint,NVDA,NVIDIA Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,41,100,
42,2022-10-05,Joint,MNST,Monster Beverage Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,42,100,
43,2022-10-05,Joint,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Partial),"$100,001 - $250,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,43,100,
44,2022-10-05,Joint,MASI,Masimo Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,44,100,
45,2022-10-05,Joint,MKTX,"MarketAxess Holdings, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,45,100,
46,2022-10-05,Joint,IDXX,"IDEXX Laboratories, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,46,100,
47,2022-10-05,Joint,HON,Honeywell International Inc. - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,47,100,
48,2022-10-05,Joint,GGG,Graco Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,48,100,
49,2022-10-05,Joint,IT,"Gartner, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,49,100,
50,2022-10-05,Joint,GRMN,Garmin Ltd. - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,50,100,
51,2022-10-05,Joint,FAST,Fastenal Company - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,51,100,
52,2022-10-05,Joint,EL,"Estee Lauder Companies, Inc. (The) Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,52,100,
53,2022-10-05,Joint,DHI,"D.R. Horton, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,53,100,
54,2022-10-05,Joint,CHD,"Church & Dwight Company, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,54,100,
55,2022-10-05,Joint,--,Brown-Forman Corp Class B,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,55,100,
56,2022-10-05,Joint,AMAT,"Applied Materials, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,56,100,
57,2022-10-05,Joint,ALGN,"Align Technology, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,57,100,
58,2022-10-05,Joint,APD,"Air Products and Chemicals, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,58,100,
59,2022-10-04,Joint,MRO,Marathon Oil Corporation Common Stock Option Type: Short Sale Strike price: $23.00  Expires: 04/21/2023 ,Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,59,100,
60,2022-10-04,Joint,OXY,Occidental Petroleum Corporation Common Stock Option Type: Short Sale Strike price: $60.00  Expires: 05/19/2023 ,Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,60,100,
62,2022-10-04,Joint,OXY,Occidental Petroleum Corporation Common Stock Option Type: Short Sale Strike price: $60.00  Expires: 05/19/2023 ,Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,61,100,
63,2022-10-04,Joint,OXY,Occidental Petroleum Corporation Common Stock Option Type: Short Sale Strike price: $60.00  Expires: 05/19/2023 ,Stock Option,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,62,100,
65,2022-10-25,Self,FTBFX,Fidelity Total Bond,Stock,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,64,100,
66,2022-10-25,Joint,--,Verizon Communications Inc. Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,65,100,
67,2022-10-25,Joint,--,SIEGY,Stock,Sale (Full),"$15,001 - $50,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,66,100,
68,2022-10-25,Joint,FDX,FedEx Corporation Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,2022-11-10,67,100,
73,2022-10-17,Spouse,GSMYX,Goldman Sachs Small/Mid-Cap Growth Fund Inst Cl,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,72,101,
75,2022-10-17,Spouse,--,FIMKX - Fidelity Advisor Focused Emerging Markets I,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,74,101,
76,2022-10-17,Spouse,FCPIX,Fidelity Advisor International Capital Appreciat,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,75,101,
77,2022-10-17,Spouse,VZ,Verizon Communications Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,76,101,
79,2022-10-17,Spouse,DLR,"Digital Realty Trust, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,78,101,
82,2022-10-17,Spouse,SRVR,Pacer Benchmark Data & Infrastructure Real Estate,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,81,101,
83,2022-10-17,Spouse,LDP,Cohen & Steers Limited Duration Preferred and Inco,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,82,101,
85,2022-10-17,Spouse,GMRE,Global Medical REIT Inc. Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,84,101,
88,2022-10-17,Spouse,DIS,Walt Disney Company (The) Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,87,101,
89,2022-10-17,Spouse,INTC,Intel Corporation - Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,88,101,
92,2022-10-10,Spouse,PSQ,ProShares Short QQQ,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,91,101,
94,2022-10-05,Spouse,PSQ,ProShares Short QQQ,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,94,101,
95,2022-10-05,Spouse,PSQ,ProShares Short QQQ,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,95,101,
96,2022-10-05,Spouse,SH,ProShares Short S&P500,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,96,101,
98,2022-10-05,Spouse,PSQ,ProShares Short QQQ,Other Securities,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,2022-11-03,98,101,
